booker,game_teams,game_time,log,team1,team2,url
Coolbet,"Los Angeles Angels - Pittsburgh Pirates Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 02:07",08/13/19 04:18 PM,1.67,2.32,https://www.oddsportal.com/baseball/usa/mlb/los-angeles-angels-pittsburgh-pirates-hOQU2BlQ/
Pinnacle,"Los Angeles Angels - Pittsburgh Pirates Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 02:07",08/13/19 04:18 PM,1.73,2.26,https://www.oddsportal.com/baseball/usa/mlb/los-angeles-angels-pittsburgh-pirates-hOQU2BlQ/
Unibet,"Los Angeles Angels - Pittsburgh Pirates Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 02:07",08/13/19 04:18 PM,1.65,2.35,https://www.oddsportal.com/baseball/usa/mlb/los-angeles-angels-pittsburgh-pirates-hOQU2BlQ/
best deal,"Los Angeles Angels - Pittsburgh Pirates Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 02:07",08/13/19 04:18 PM,1.73,2.4,https://www.oddsportal.com/baseball/usa/mlb/los-angeles-angels-pittsburgh-pirates-hOQU2BlQ/
18bet,"San Diego Padres - Tampa Bay Rays Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 02:10",08/13/19 04:18 PM,1.81,2.1,https://www.oddsportal.com/baseball/usa/mlb/san-diego-padres-tampa-bay-rays-QcWWsAC0/
1xBet,"San Diego Padres - Tampa Bay Rays Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 02:10",08/13/19 04:18 PM,1.82,2.06,https://www.oddsportal.com/baseball/usa/mlb/san-diego-padres-tampa-bay-rays-QcWWsAC0/
Asianodds,"San Diego Padres - Tampa Bay Rays Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 02:10",08/13/19 04:18 PM,1.83,2.12,https://www.oddsportal.com/baseball/usa/mlb/san-diego-padres-tampa-bay-rays-QcWWsAC0/
bet-at-home,"San Diego Padres - Tampa Bay Rays Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 02:10",08/13/19 04:18 PM,1.75,2.04,https://www.oddsportal.com/baseball/usa/mlb/san-diego-padres-tampa-bay-rays-QcWWsAC0/
bet365,"San Diego Padres - Tampa Bay Rays Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 02:10",08/13/19 04:18 PM,2.0,1.83,https://www.oddsportal.com/baseball/usa/mlb/san-diego-padres-tampa-bay-rays-QcWWsAC0/
Bethard,"San Diego Padres - Tampa Bay Rays Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 02:10",08/13/19 04:18 PM,1.77,2.05,https://www.oddsportal.com/baseball/usa/mlb/san-diego-padres-tampa-bay-rays-QcWWsAC0/
bwin,"San Diego Padres - Tampa Bay Rays Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 02:10",08/13/19 04:18 PM,1.75,2.1,https://www.oddsportal.com/baseball/usa/mlb/san-diego-padres-tampa-bay-rays-QcWWsAC0/
Coolbet,"San Diego Padres - Tampa Bay Rays Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 02:10",08/13/19 04:18 PM,1.82,2.08,https://www.oddsportal.com/baseball/usa/mlb/san-diego-padres-tampa-bay-rays-QcWWsAC0/
Pinnacle,"San Diego Padres - Tampa Bay Rays Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 02:10",08/13/19 04:18 PM,1.83,2.11,https://www.oddsportal.com/baseball/usa/mlb/san-diego-padres-tampa-bay-rays-QcWWsAC0/
Unibet,"San Diego Padres - Tampa Bay Rays Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 02:10",08/13/19 04:18 PM,1.82,2.07,https://www.oddsportal.com/baseball/usa/mlb/san-diego-padres-tampa-bay-rays-QcWWsAC0/
best deal,"San Diego Padres - Tampa Bay Rays Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 02:10",08/13/19 04:18 PM,2.0,2.12,https://www.oddsportal.com/baseball/usa/mlb/san-diego-padres-tampa-bay-rays-QcWWsAC0/
18bet,"Chicago White Sox - Houston Astros Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 20:40",08/13/19 04:18 PM,3.69,1.32,https://www.oddsportal.com/baseball/usa/mlb/chicago-white-sox-houston-astros-v1zysUR6/
1xBet,"Chicago White Sox - Houston Astros Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 20:40",08/13/19 04:18 PM,3.58,1.32,https://www.oddsportal.com/baseball/usa/mlb/chicago-white-sox-houston-astros-v1zysUR6/
Asianodds,"Chicago White Sox - Houston Astros Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 20:40",08/13/19 04:18 PM,3.85,1.32,https://www.oddsportal.com/baseball/usa/mlb/chicago-white-sox-houston-astros-v1zysUR6/
bet-at-home,"Chicago White Sox - Houston Astros Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 20:40",08/13/19 04:18 PM,3.46,1.3,https://www.oddsportal.com/baseball/usa/mlb/chicago-white-sox-houston-astros-v1zysUR6/
bet365,"Chicago White Sox - Houston Astros Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 20:40",08/13/19 04:18 PM,3.75,1.28,https://www.oddsportal.com/baseball/usa/mlb/chicago-white-sox-houston-astros-v1zysUR6/
Bethard,"Chicago White Sox - Houston Astros Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 20:40",08/13/19 04:18 PM,3.65,1.29,https://www.oddsportal.com/baseball/usa/mlb/chicago-white-sox-houston-astros-v1zysUR6/
bwin,"Chicago White Sox - Houston Astros Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 20:40",08/13/19 04:18 PM,3.75,1.28,https://www.oddsportal.com/baseball/usa/mlb/chicago-white-sox-houston-astros-v1zysUR6/
Coolbet,"Chicago White Sox - Houston Astros Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 20:40",08/13/19 04:18 PM,3.6,1.33,https://www.oddsportal.com/baseball/usa/mlb/chicago-white-sox-houston-astros-v1zysUR6/
Marathonbet,"Chicago White Sox - Houston Astros Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 20:40",08/13/19 04:18 PM,3.64,1.31,https://www.oddsportal.com/baseball/usa/mlb/chicago-white-sox-houston-astros-v1zysUR6/
Pinnacle,"Chicago White Sox - Houston Astros Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 20:40",08/13/19 04:18 PM,3.66,1.34,https://www.oddsportal.com/baseball/usa/mlb/chicago-white-sox-houston-astros-v1zysUR6/
Unibet,"Chicago White Sox - Houston Astros Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 20:40",08/13/19 04:18 PM,3.65,1.3,https://www.oddsportal.com/baseball/usa/mlb/chicago-white-sox-houston-astros-v1zysUR6/
best deal,"Chicago White Sox - Houston Astros Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 20:40",08/13/19 04:18 PM,3.85,1.34,https://www.oddsportal.com/baseball/usa/mlb/chicago-white-sox-houston-astros-v1zysUR6/
18bet,"New York Yankees - Baltimore Orioles Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 23:05",08/13/19 04:18 PM,1.33,3.62,https://www.oddsportal.com/baseball/usa/mlb/new-york-yankees-baltimore-orioles-tlaIg7BC/
1xBet,"New York Yankees - Baltimore Orioles Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 23:05",08/13/19 04:18 PM,1.32,3.6,https://www.oddsportal.com/baseball/usa/mlb/new-york-yankees-baltimore-orioles-tlaIg7BC/
Asianodds,"New York Yankees - Baltimore Orioles Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 23:05",08/13/19 04:18 PM,1.34,3.66,https://www.oddsportal.com/baseball/usa/mlb/new-york-yankees-baltimore-orioles-tlaIg7BC/
bet-at-home,"New York Yankees - Baltimore Orioles Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 23:05",08/13/19 04:18 PM,1.28,3.55,https://www.oddsportal.com/baseball/usa/mlb/new-york-yankees-baltimore-orioles-tlaIg7BC/
bet365,"New York Yankees - Baltimore Orioles Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 23:05",08/13/19 04:18 PM,1.3,3.65,https://www.oddsportal.com/baseball/usa/mlb/new-york-yankees-baltimore-orioles-tlaIg7BC/
Bethard,"New York Yankees - Baltimore Orioles Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 23:05",08/13/19 04:18 PM,1.31,3.45,https://www.oddsportal.com/baseball/usa/mlb/new-york-yankees-baltimore-orioles-tlaIg7BC/
bwin,"New York Yankees - Baltimore Orioles Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 23:05",08/13/19 04:18 PM,1.33,3.4,https://www.oddsportal.com/baseball/usa/mlb/new-york-yankees-baltimore-orioles-tlaIg7BC/
Coolbet,"New York Yankees - Baltimore Orioles Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 23:05",08/13/19 04:18 PM,1.33,3.6,https://www.oddsportal.com/baseball/usa/mlb/new-york-yankees-baltimore-orioles-tlaIg7BC/
Marathonbet,"New York Yankees - Baltimore Orioles Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 23:05",08/13/19 04:18 PM,1.31,3.64,https://www.oddsportal.com/baseball/usa/mlb/new-york-yankees-baltimore-orioles-tlaIg7BC/
Pinnacle,"New York Yankees - Baltimore Orioles Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 23:05",08/13/19 04:18 PM,1.34,3.66,https://www.oddsportal.com/baseball/usa/mlb/new-york-yankees-baltimore-orioles-tlaIg7BC/
Unibet,"New York Yankees - Baltimore Orioles Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 23:05",08/13/19 04:18 PM,1.33,3.55,https://www.oddsportal.com/baseball/usa/mlb/new-york-yankees-baltimore-orioles-tlaIg7BC/
best deal,"New York Yankees - Baltimore Orioles Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 23:05",08/13/19 04:18 PM,1.34,3.66,https://www.oddsportal.com/baseball/usa/mlb/new-york-yankees-baltimore-orioles-tlaIg7BC/
18bet,"Philadelphia Phillies - Chicago Cubs Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 23:05",08/13/19 04:18 PM,2.17,1.75,https://www.oddsportal.com/baseball/usa/mlb/philadelphia-phillies-chicago-cubs-2c0Efmd6/
1xBet,"Philadelphia Phillies - Chicago Cubs Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 23:05",08/13/19 04:18 PM,2.12,1.78,https://www.oddsportal.com/baseball/usa/mlb/philadelphia-phillies-chicago-cubs-2c0Efmd6/
Asianodds,"Philadelphia Phillies - Chicago Cubs Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 23:05",08/13/19 04:18 PM,2.2,1.77,https://www.oddsportal.com/baseball/usa/mlb/philadelphia-phillies-chicago-cubs-2c0Efmd6/
bet-at-home,"Philadelphia Phillies - Chicago Cubs Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 23:05",08/13/19 04:18 PM,2.09,1.72,https://www.oddsportal.com/baseball/usa/mlb/philadelphia-phillies-chicago-cubs-2c0Efmd6/
bet365,"Philadelphia Phillies - Chicago Cubs Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 23:05",08/13/19 04:18 PM,2.2,1.71,https://www.oddsportal.com/baseball/usa/mlb/philadelphia-phillies-chicago-cubs-2c0Efmd6/
Bethard,"Philadelphia Phillies - Chicago Cubs Betting Odds, Baseball - MLB","Today, 13 Aug  2019, 23:05",08/13/19 04:18 PM,2.1,1.71,https://www.oddsportal.com/baseball/usa/mlb/philadelphia-phillies-chicago-cubs-2c0Efmd6/
