booker,game_teams,game_time,log,score,team1,team2,tie,url
bet-at-home,"AC Lala FC - Estudiantes Caracas Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,1:2,2.42,2.48,3.18,https://www.oddsportal.com/soccer/venezuela/primera-division/ac-lala-fc-estudiantes-de-caracas-vVg3I8OO/
Bethard,"AC Lala FC - Estudiantes Caracas Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,1:2,2.45,2.55,3.2,https://www.oddsportal.com/soccer/venezuela/primera-division/ac-lala-fc-estudiantes-de-caracas-vVg3I8OO/
bwin,"AC Lala FC - Estudiantes Caracas Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,1:2,2.50,2.5,3.2,https://www.oddsportal.com/soccer/venezuela/primera-division/ac-lala-fc-estudiantes-de-caracas-vVg3I8OO/
Coolbet,"AC Lala FC - Estudiantes Caracas Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,1:2,2.50,2.65,3.3,https://www.oddsportal.com/soccer/venezuela/primera-division/ac-lala-fc-estudiantes-de-caracas-vVg3I8OO/
Marathonbet,"AC Lala FC - Estudiantes Caracas Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,1:2,2.56,2.68,3.4,https://www.oddsportal.com/soccer/venezuela/primera-division/ac-lala-fc-estudiantes-de-caracas-vVg3I8OO/
Pinnacle,"AC Lala FC - Estudiantes Caracas Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,1:2,2.57,2.68,3.35,https://www.oddsportal.com/soccer/venezuela/primera-division/ac-lala-fc-estudiantes-de-caracas-vVg3I8OO/
Unibet,"AC Lala FC - Estudiantes Caracas Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,1:2,2.43,2.48,3.15,https://www.oddsportal.com/soccer/venezuela/primera-division/ac-lala-fc-estudiantes-de-caracas-vVg3I8OO/
best deal,"AC Lala FC - Estudiantes Caracas Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,1:2,2.59,2.72,3.4,https://www.oddsportal.com/soccer/venezuela/primera-division/ac-lala-fc-estudiantes-de-caracas-vVg3I8OO/
18bet,IN-PLAY ODDS: Lara - Mineros Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,1:0,1.45,7.25,3.6,https://www.oddsportal.com/soccer/venezuela/primera-division/lara-mineros-KrSPZ9ga/inplay-odds/
1xBet,IN-PLAY ODDS: Lara - Mineros Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,1:0,1.49,7.2,3.86,https://www.oddsportal.com/soccer/venezuela/primera-division/lara-mineros-KrSPZ9ga/inplay-odds/
Asianodds,IN-PLAY ODDS: Lara - Mineros Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,1:0,1.46,8.4,3.65,https://www.oddsportal.com/soccer/venezuela/primera-division/lara-mineros-KrSPZ9ga/inplay-odds/
bet-at-home,IN-PLAY ODDS: Lara - Mineros Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,1:0,1.43,8.0,3.75,https://www.oddsportal.com/soccer/venezuela/primera-division/lara-mineros-KrSPZ9ga/inplay-odds/
Bethard,IN-PLAY ODDS: Lara - Mineros Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,1:0,1.47,6.9,3.3,https://www.oddsportal.com/soccer/venezuela/primera-division/lara-mineros-KrSPZ9ga/inplay-odds/
bwin,IN-PLAY ODDS: Lara - Mineros Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,1:0,1.48,7.25,3.4,https://www.oddsportal.com/soccer/venezuela/primera-division/lara-mineros-KrSPZ9ga/inplay-odds/
Coolbet,IN-PLAY ODDS: Lara - Mineros Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,1:0,1.40,8.0,3.8,https://www.oddsportal.com/soccer/venezuela/primera-division/lara-mineros-KrSPZ9ga/inplay-odds/
Marathonbet,IN-PLAY ODDS: Lara - Mineros Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,1:0,1.47,7.1,3.76,https://www.oddsportal.com/soccer/venezuela/primera-division/lara-mineros-KrSPZ9ga/inplay-odds/
Pinnacle,IN-PLAY ODDS: Lara - Mineros Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,1:0,1.43,8.16,3.95,https://www.oddsportal.com/soccer/venezuela/primera-division/lara-mineros-KrSPZ9ga/inplay-odds/
Unibet,IN-PLAY ODDS: Lara - Mineros Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,1:0,1.43,7.5,4.0,https://www.oddsportal.com/soccer/venezuela/primera-division/lara-mineros-KrSPZ9ga/inplay-odds/
best deal,IN-PLAY ODDS: Lara - Mineros Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,1:0,1.49,8.4,4.0,https://www.oddsportal.com/soccer/venezuela/primera-division/lara-mineros-KrSPZ9ga/inplay-odds/
18bet,"Lara - Mineros Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,1:0,2.30,3.1,3.05,https://www.oddsportal.com/soccer/venezuela/primera-division/lara-mineros-KrSPZ9ga/
1xBet,"Lara - Mineros Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,1:0,2.23,3.2,3.36,https://www.oddsportal.com/soccer/venezuela/primera-division/lara-mineros-KrSPZ9ga/
Asianodds,"Lara - Mineros Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,1:0,2.32,3.44,3.0,https://www.oddsportal.com/soccer/venezuela/primera-division/lara-mineros-KrSPZ9ga/
bet-at-home,"Lara - Mineros Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,1:0,2.19,2.97,2.98,https://www.oddsportal.com/soccer/venezuela/primera-division/lara-mineros-KrSPZ9ga/
Bethard,"Lara - Mineros Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,1:0,2.25,3.1,2.9,https://www.oddsportal.com/soccer/venezuela/primera-division/lara-mineros-KrSPZ9ga/
bwin,"Lara - Mineros Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,1:0,2.25,2.8,3.2,https://www.oddsportal.com/soccer/venezuela/primera-division/lara-mineros-KrSPZ9ga/
Coolbet,"Lara - Mineros Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,1:0,2.30,3.1,3.1,https://www.oddsportal.com/soccer/venezuela/primera-division/lara-mineros-KrSPZ9ga/
Marathonbet,"Lara - Mineros Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,1:0,2.24,3.2,3.34,https://www.oddsportal.com/soccer/venezuela/primera-division/lara-mineros-KrSPZ9ga/
Pinnacle,"Lara - Mineros Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,1:0,2.32,3.44,2.94,https://www.oddsportal.com/soccer/venezuela/primera-division/lara-mineros-KrSPZ9ga/
Unibet,"Lara - Mineros Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,1:0,2.20,3.1,2.75,https://www.oddsportal.com/soccer/venezuela/primera-division/lara-mineros-KrSPZ9ga/
best deal,"Lara - Mineros Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,1:0,2.32,3.44,3.36,https://www.oddsportal.com/soccer/venezuela/primera-division/lara-mineros-KrSPZ9ga/
18bet,IN-PLAY ODDS: Metropolitanos - Trujillanos Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,2:0,1.02,37.0,10.5,https://www.oddsportal.com/soccer/venezuela/primera-division/metropolitanos-trujillanos-UgZCxC9t/inplay-odds/
1xBet,IN-PLAY ODDS: Metropolitanos - Trujillanos Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,2:0,1.04,24.0,14.0,https://www.oddsportal.com/soccer/venezuela/primera-division/metropolitanos-trujillanos-UgZCxC9t/inplay-odds/
Asianodds,IN-PLAY ODDS: Metropolitanos - Trujillanos Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,2:0,1.03,70.0,12.0,https://www.oddsportal.com/soccer/venezuela/primera-division/metropolitanos-trujillanos-UgZCxC9t/inplay-odds/
bet-at-home,IN-PLAY ODDS: Metropolitanos - Trujillanos Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,2:0,1.02,50.0,18.5,https://www.oddsportal.com/soccer/venezuela/primera-division/metropolitanos-trujillanos-UgZCxC9t/inplay-odds/
Bethard,IN-PLAY ODDS: Metropolitanos - Trujillanos Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,2:0,1.01,31.5,10.5,https://www.oddsportal.com/soccer/venezuela/primera-division/metropolitanos-trujillanos-UgZCxC9t/inplay-odds/
bwin,IN-PLAY ODDS: Metropolitanos - Trujillanos Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,2:0,1.01,36.0,11.0,https://www.oddsportal.com/soccer/venezuela/primera-division/metropolitanos-trujillanos-UgZCxC9t/inplay-odds/
Coolbet,IN-PLAY ODDS: Metropolitanos - Trujillanos Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,2:0,N/D,66.0,16.0,https://www.oddsportal.com/soccer/venezuela/primera-division/metropolitanos-trujillanos-UgZCxC9t/inplay-odds/
Marathonbet,IN-PLAY ODDS: Metropolitanos - Trujillanos Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,2:0,1.02,31.0,14.0,https://www.oddsportal.com/soccer/venezuela/primera-division/metropolitanos-trujillanos-UgZCxC9t/inplay-odds/
Pinnacle,IN-PLAY ODDS: Metropolitanos - Trujillanos Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,2:0,1.02,68.55,18.96,https://www.oddsportal.com/soccer/venezuela/primera-division/metropolitanos-trujillanos-UgZCxC9t/inplay-odds/
Unibet,IN-PLAY ODDS: Metropolitanos - Trujillanos Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,2:0,1.02,61.0,17.0,https://www.oddsportal.com/soccer/venezuela/primera-division/metropolitanos-trujillanos-UgZCxC9t/inplay-odds/
best deal,IN-PLAY ODDS: Metropolitanos - Trujillanos Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,2:0,1.04,70.0,18.96,https://www.oddsportal.com/soccer/venezuela/primera-division/metropolitanos-trujillanos-UgZCxC9t/inplay-odds/
18bet,"Metropolitanos - Trujillanos Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,2:0,1.67,4.4,3.7,https://www.oddsportal.com/soccer/venezuela/primera-division/metropolitanos-trujillanos-UgZCxC9t/
1xBet,"Metropolitanos - Trujillanos Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,2:0,1.70,4.82,3.84,https://www.oddsportal.com/soccer/venezuela/primera-division/metropolitanos-trujillanos-UgZCxC9t/
Asianodds,"Metropolitanos - Trujillanos Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,2:0,1.71,5.08,3.72,https://www.oddsportal.com/soccer/venezuela/primera-division/metropolitanos-trujillanos-UgZCxC9t/
bet-at-home,"Metropolitanos - Trujillanos Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,2:0,1.63,4.5,3.41,https://www.oddsportal.com/soccer/venezuela/primera-division/metropolitanos-trujillanos-UgZCxC9t/
Bethard,"Metropolitanos - Trujillanos Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,2:0,1.63,4.55,3.6,https://www.oddsportal.com/soccer/venezuela/primera-division/metropolitanos-trujillanos-UgZCxC9t/
bwin,"Metropolitanos - Trujillanos Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,2:0,1.75,4.1,3.4,https://www.oddsportal.com/soccer/venezuela/primera-division/metropolitanos-trujillanos-UgZCxC9t/
Coolbet,"Metropolitanos - Trujillanos Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,2:0,1.70,4.75,3.6,https://www.oddsportal.com/soccer/venezuela/primera-division/metropolitanos-trujillanos-UgZCxC9t/
Marathonbet,"Metropolitanos - Trujillanos Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,2:0,1.66,5.1,3.85,https://www.oddsportal.com/soccer/venezuela/primera-division/metropolitanos-trujillanos-UgZCxC9t/
Pinnacle,"Metropolitanos - Trujillanos Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,2:0,1.66,5.08,3.72,https://www.oddsportal.com/soccer/venezuela/primera-division/metropolitanos-trujillanos-UgZCxC9t/
Unibet,"Metropolitanos - Trujillanos Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,2:0,1.60,4.4,3.5,https://www.oddsportal.com/soccer/venezuela/primera-division/metropolitanos-trujillanos-UgZCxC9t/
best deal,"Metropolitanos - Trujillanos Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,2:0,1.75,5.1,3.85,https://www.oddsportal.com/soccer/venezuela/primera-division/metropolitanos-trujillanos-UgZCxC9t/
18bet,IN-PLAY ODDS: Portuguesa - Carabobo Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,0:0,5.25,2.0,2.35,https://www.oddsportal.com/soccer/venezuela/primera-division/portuguesa-carabobo-Spmosh1P/inplay-odds/
1xBet,IN-PLAY ODDS: Portuguesa - Carabobo Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,0:0,5.60,2.0,2.56,https://www.oddsportal.com/soccer/venezuela/primera-division/portuguesa-carabobo-Spmosh1P/inplay-odds/
Asianodds,IN-PLAY ODDS: Portuguesa - Carabobo Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,0:0,5.30,2.04,2.32,https://www.oddsportal.com/soccer/venezuela/primera-division/portuguesa-carabobo-Spmosh1P/inplay-odds/
bet-at-home,IN-PLAY ODDS: Portuguesa - Carabobo Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,0:0,5.00,2.18,2.26,https://www.oddsportal.com/soccer/venezuela/primera-division/portuguesa-carabobo-Spmosh1P/inplay-odds/
Bethard,IN-PLAY ODDS: Portuguesa - Carabobo Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,0:0,4.90,2.1,2.25,https://www.oddsportal.com/soccer/venezuela/primera-division/portuguesa-carabobo-Spmosh1P/inplay-odds/
bwin,IN-PLAY ODDS: Portuguesa - Carabobo Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,0:0,4.75,2.15,2.3,https://www.oddsportal.com/soccer/venezuela/primera-division/portuguesa-carabobo-Spmosh1P/inplay-odds/
Coolbet,IN-PLAY ODDS: Portuguesa - Carabobo Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,0:0,5.00,2.1,2.4,https://www.oddsportal.com/soccer/venezuela/primera-division/portuguesa-carabobo-Spmosh1P/inplay-odds/
Marathonbet,IN-PLAY ODDS: Portuguesa - Carabobo Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,0:0,7.90,1.75,2.57,https://www.oddsportal.com/soccer/venezuela/primera-division/portuguesa-carabobo-Spmosh1P/inplay-odds/
Unibet,IN-PLAY ODDS: Portuguesa - Carabobo Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,0:0,9.00,1.61,2.8,https://www.oddsportal.com/soccer/venezuela/primera-division/portuguesa-carabobo-Spmosh1P/inplay-odds/
best deal,IN-PLAY ODDS: Portuguesa - Carabobo Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,0:0,9.00,2.18,2.8,https://www.oddsportal.com/soccer/venezuela/primera-division/portuguesa-carabobo-Spmosh1P/inplay-odds/
18bet,"Portuguesa - Carabobo Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,0:0,2.25,3.1,3.05,https://www.oddsportal.com/soccer/venezuela/primera-division/portuguesa-carabobo-Spmosh1P/
1xBet,"Portuguesa - Carabobo Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,0:0,2.26,3.52,3.02,https://www.oddsportal.com/soccer/venezuela/primera-division/portuguesa-carabobo-Spmosh1P/
Asianodds,"Portuguesa - Carabobo Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,0:0,2.41,3.25,3.02,https://www.oddsportal.com/soccer/venezuela/primera-division/portuguesa-carabobo-Spmosh1P/
bet-at-home,"Portuguesa - Carabobo Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,0:0,2.23,3.02,2.85,https://www.oddsportal.com/soccer/venezuela/primera-division/portuguesa-carabobo-Spmosh1P/
Bethard,"Portuguesa - Carabobo Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,0:0,2.25,3.0,2.95,https://www.oddsportal.com/soccer/venezuela/primera-division/portuguesa-carabobo-Spmosh1P/
bwin,"Portuguesa - Carabobo Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,0:0,2.25,2.9,3.1,https://www.oddsportal.com/soccer/venezuela/primera-division/portuguesa-carabobo-Spmosh1P/
Coolbet,"Portuguesa - Carabobo Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,0:0,2.35,3.1,3.0,https://www.oddsportal.com/soccer/venezuela/primera-division/portuguesa-carabobo-Spmosh1P/
Marathonbet,"Portuguesa - Carabobo Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,0:0,2.20,3.44,3.2,https://www.oddsportal.com/soccer/venezuela/primera-division/portuguesa-carabobo-Spmosh1P/
Pinnacle,"Portuguesa - Carabobo Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,0:0,2.41,3.18,3.02,https://www.oddsportal.com/soccer/venezuela/primera-division/portuguesa-carabobo-Spmosh1P/
Unibet,"Portuguesa - Carabobo Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,0:0,2.23,3.3,2.6,https://www.oddsportal.com/soccer/venezuela/primera-division/portuguesa-carabobo-Spmosh1P/
best deal,"Portuguesa - Carabobo Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 04:45 PM,0:0,2.41,3.52,3.2,https://www.oddsportal.com/soccer/venezuela/primera-division/portuguesa-carabobo-Spmosh1P/
18bet,IN-PLAY ODDS: AC Lala FC - Estudiantes Caracas Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 04:51 PM,1:2,6.00,1.56,3.35,https://www.oddsportal.com/soccer/venezuela/primera-division/ac-lala-fc-estudiantes-de-caracas-vVg3I8OO/inplay-odds/
1xBet,IN-PLAY ODDS: AC Lala FC - Estudiantes Caracas Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 04:51 PM,1:2,5.60,1.61,3.68,https://www.oddsportal.com/soccer/venezuela/primera-division/ac-lala-fc-estudiantes-de-caracas-vVg3I8OO/inplay-odds/
Asianodds,IN-PLAY ODDS: AC Lala FC - Estudiantes Caracas Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 04:51 PM,1:2,6.50,1.61,3.6,https://www.oddsportal.com/soccer/venezuela/primera-division/ac-lala-fc-estudiantes-de-caracas-vVg3I8OO/inplay-odds/
Bethard,IN-PLAY ODDS: AC Lala FC - Estudiantes Caracas Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 04:51 PM,1:2,5.65,1.51,3.45,https://www.oddsportal.com/soccer/venezuela/primera-division/ac-lala-fc-estudiantes-de-caracas-vVg3I8OO/inplay-odds/
bwin,IN-PLAY ODDS: AC Lala FC - Estudiantes Caracas Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 04:51 PM,1:2,6.00,1.53,3.5,https://www.oddsportal.com/soccer/venezuela/primera-division/ac-lala-fc-estudiantes-de-caracas-vVg3I8OO/inplay-odds/
Coolbet,IN-PLAY ODDS: AC Lala FC - Estudiantes Caracas Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 04:51 PM,1:2,6.00,1.57,3.4,https://www.oddsportal.com/soccer/venezuela/primera-division/ac-lala-fc-estudiantes-de-caracas-vVg3I8OO/inplay-odds/
Marathonbet,IN-PLAY ODDS: AC Lala FC - Estudiantes Caracas Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 04:51 PM,1:2,6.20,1.52,3.72,https://www.oddsportal.com/soccer/venezuela/primera-division/ac-lala-fc-estudiantes-de-caracas-vVg3I8OO/inplay-odds/
Pinnacle,IN-PLAY ODDS: AC Lala FC - Estudiantes Caracas Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 04:51 PM,1:2,17.70,1.11,8.32,https://www.oddsportal.com/soccer/venezuela/primera-division/ac-lala-fc-estudiantes-de-caracas-vVg3I8OO/inplay-odds/
Unibet,IN-PLAY ODDS: AC Lala FC - Estudiantes Caracas Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 04:51 PM,1:2,5.60,1.54,3.8,https://www.oddsportal.com/soccer/venezuela/primera-division/ac-lala-fc-estudiantes-de-caracas-vVg3I8OO/inplay-odds/
best deal,IN-PLAY ODDS: AC Lala FC - Estudiantes Caracas Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 04:51 PM,1:2,6.50,1.61,8.32,https://www.oddsportal.com/soccer/venezuela/primera-division/ac-lala-fc-estudiantes-de-caracas-vVg3I8OO/inplay-odds/
18bet,"AC Lala FC - Estudiantes Caracas Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 04:51 PM,1:2,2.50,2.65,3.25,https://www.oddsportal.com/soccer/venezuela/primera-division/ac-lala-fc-estudiantes-de-caracas-vVg3I8OO/
1xBet,"AC Lala FC - Estudiantes Caracas Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 04:51 PM,1:2,2.59,2.66,3.38,https://www.oddsportal.com/soccer/venezuela/primera-division/ac-lala-fc-estudiantes-de-caracas-vVg3I8OO/
Asianodds,"AC Lala FC - Estudiantes Caracas Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 04:51 PM,1:2,2.57,2.72,3.35,https://www.oddsportal.com/soccer/venezuela/primera-division/ac-lala-fc-estudiantes-de-caracas-vVg3I8OO/
bet-at-home,"AC Lala FC - Estudiantes Caracas Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 04:51 PM,1:2,2.42,2.48,3.18,https://www.oddsportal.com/soccer/venezuela/primera-division/ac-lala-fc-estudiantes-de-caracas-vVg3I8OO/
Bethard,"AC Lala FC - Estudiantes Caracas Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 04:51 PM,1:2,2.45,2.55,3.2,https://www.oddsportal.com/soccer/venezuela/primera-division/ac-lala-fc-estudiantes-de-caracas-vVg3I8OO/
bwin,"AC Lala FC - Estudiantes Caracas Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 04:51 PM,1:2,2.50,2.5,3.2,https://www.oddsportal.com/soccer/venezuela/primera-division/ac-lala-fc-estudiantes-de-caracas-vVg3I8OO/
Coolbet,"AC Lala FC - Estudiantes Caracas Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 04:51 PM,1:2,2.50,2.65,3.3,https://www.oddsportal.com/soccer/venezuela/primera-division/ac-lala-fc-estudiantes-de-caracas-vVg3I8OO/
Marathonbet,"AC Lala FC - Estudiantes Caracas Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 04:51 PM,1:2,2.56,2.68,3.4,https://www.oddsportal.com/soccer/venezuela/primera-division/ac-lala-fc-estudiantes-de-caracas-vVg3I8OO/
Pinnacle,"AC Lala FC - Estudiantes Caracas Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 04:51 PM,1:2,2.57,2.68,3.35,https://www.oddsportal.com/soccer/venezuela/primera-division/ac-lala-fc-estudiantes-de-caracas-vVg3I8OO/
Unibet,"AC Lala FC - Estudiantes Caracas Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 04:51 PM,1:2,2.43,2.48,3.15,https://www.oddsportal.com/soccer/venezuela/primera-division/ac-lala-fc-estudiantes-de-caracas-vVg3I8OO/
best deal,"AC Lala FC - Estudiantes Caracas Betting Odds, Soccer - Primera Division","Today, 14 Aug  2019, 20:00",08/14/19 04:51 PM,1:2,2.59,2.72,3.4,https://www.oddsportal.com/soccer/venezuela/primera-division/ac-lala-fc-estudiantes-de-caracas-vVg3I8OO/
18bet,IN-PLAY ODDS: Lara - Mineros Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 04:51 PM,1:0,1.43,7.5,3.6,https://www.oddsportal.com/soccer/venezuela/primera-division/lara-mineros-KrSPZ9ga/inplay-odds/
1xBet,IN-PLAY ODDS: Lara - Mineros Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 04:51 PM,1:0,1.49,7.2,3.86,https://www.oddsportal.com/soccer/venezuela/primera-division/lara-mineros-KrSPZ9ga/inplay-odds/
Asianodds,IN-PLAY ODDS: Lara - Mineros Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 04:51 PM,1:0,1.45,8.5,3.7,https://www.oddsportal.com/soccer/venezuela/primera-division/lara-mineros-KrSPZ9ga/inplay-odds/
bet-at-home,IN-PLAY ODDS: Lara - Mineros Soccer Primera Division Betting Odds,"Today, 14 Aug  2019, 20:00",08/14/19 04:51 PM,1:0,1.42,8.4,3.65,https://www.oddsportal.com/soccer/venezuela/primera-division/lara-mineros-KrSPZ9ga/inplay-odds/
