log,player1,player2,odds1,odds2
2019-09-08 15:59:44,Daniil Medvedev,Rafael Nadal,0.186,0.833
2019-09-08 16:01:05,Daniil Medvedev,Rafael Nadal,0.175,0.845
2019-09-08 16:03:13,Daniil Medvedev,Rafael Nadal,0.178,0.842
2019-09-08 16:05:20,Daniil Medvedev,Rafael Nadal,0.181,0.84
2019-09-08 16:07:23,Daniil Medvedev,Rafael Nadal,0.18,0.84
2019-09-08 16:11:34,Daniil Medvedev,Rafael Nadal,0.181,0.839
