R1,R2,game_time,live_score,odds_base,score,teams,url,log,day_game
4.45,1.20,1st Set,0:0 (0:3)~2,13,N/D,Chang S. - Davis L.,/tennis/usa/new-haven-challenger-women/chang-sophie-davis-lauren-lvj86ZnF/inplay-odds/,2019-09-04 14:26:43,20190904
3.76,1.25,1st Set,0:0 (3:5)~2,13,N/D,Zhu E. - Polansky P.,/tennis/usa/new-haven-challenger-men/zhu-evan-polansky-peter-GEBfs2P1/inplay-odds/,2019-09-04 14:26:58,20190904
1.82,1.97,3rd Set,"1:1 (4:6, 6:1, 0:0)~2",13,N/D,Murray J./Skupski N. - Sock J./Withrow J.,/tennis/usa/atp-us-open-doubles/murray-jamie-skupski-neal-sock-jack-withrow-jackson-QXfhDt57/inplay-odds/,2019-09-04 14:27:08,20190904
2.61,1.53,1st Set,0:0 (1:2)~2,13,N/D,Berrettini M. - Monfils G.,/tennis/usa/atp-us-open/berrettini-matteo-monfils-gael-KzhpF2ze/inplay-odds/,2019-09-04 14:27:30,20190904
1.69,2.13,2nd Set,"0:1 (2:6, 1:2)~2",13,N/D,Maria T. - Arconada U. M.,/tennis/usa/new-haven-challenger-women/maria-tatjana-arconada-usue-maitane-EFlxLX6G/inplay-odds/,2019-09-04 14:27:41,20190904
1.63,2.13,12:25,N/D,4,N/D,Kostyuk M. - Kan V.,/tennis/croatia/itf-zagreb-women/kostyuk-marta-kan-victoria-SEleQxsB/inplay-odds/,2019-09-04 14:27:45,20190904
2.18,1.61,06:00,N/D,5,N/D,Kung L. - Ce G.,/tennis/switzerland/itf-montreux-women/kung-leonie-ce-gabriela-t6QI8AGh/,2019-09-04 14:28:01,20190905
1.70,2.10,15:15,N/D,12,N/D,Sonego L. - Hanfmann Y.,javascript:void(0);,2019-09-04 14:28:06,20190904
1.57,2.26,17:00,N/D,7,N/D,Gille S./Vliegen J. - Maytin R./Reyes-Varela M.,javascript:void(0);,2019-09-04 14:28:06,20190904
2.50,1.50,1st Set,0:0 (5:5)~2,13,N/D,Smith J. P. - Laaksonen H.,/tennis/usa/new-haven-challenger-men/smith-john-patrick-laaksonen-henri-Y9EwTWhG/inplay-odds/,2019-09-04 14:28:09,20190904
3.76,1.25,1st Set,0:0 (4:5)~2,13,N/D,Zhu E. - Polansky P.,/tennis/usa/new-haven-challenger-men/zhu-evan-polansky-peter-GEBfs2P1/inplay-odds/,2019-09-04 14:28:51,20190904
1.15,4.99,2nd Set,"1:0 (7:6<sup>3</sup>, 4:1)~2",13,N/D,Seppi A. - Smith R.,/tennis/usa/new-haven-challenger-men/seppi-andreas-smith-roy-faNoqOfk/inplay-odds/,2019-09-04 14:28:55,20190904
3.35,1.30,1st Set,0:0 (0:0)~2,13,N/D,Kirchheimer S. - Eubanks C.,javascript:void(0);,2019-09-04 14:29:01,20190904
2.00,1.72,07:30,N/D,8,N/D,Grabher J. - Andrianjafitrimo T.,/tennis/switzerland/itf-montreux-women/grabher-julia-andrianjafitrimo-tessah-forQ12os/,2019-09-04 14:29:03,20190905
